v2,v5,v6,v7,v8,v9,v10,v11,v12,v13,v14,v15,v16,v17,v18,v19,v20,v21,v22,v23,v24,v25,v26,v27,v28,v29,v30,v31,v32,v33,v34,v35,v36,v37,v38,v39,v40,v41,v42,v43,v44,v45,v46,v47,v48,v49,v50,v51,v52,v53,v54,v55,v56,v57,v58,v59,v60,v61,v62,v63,v64,v65,v66,v67,v68,v69,v70,v71,v72,v73,v74,v75,v76,v77,v78,v79,v80,v81,v82,v83,v84,v85,v86,v87,v88,v89,v90,v91,v92,v93,v94,v95,v96,v97,v98,v99,v100,v101,v102,v103,v104,v105,v106,v107,v108,v109,v110,v111,v112,v113,v114,v115,v116,v117,v118,v119,v120,v121,v122,v123,v124,v125,v126,v127,v128,v129,v130,v131,v132,v133,v134,v135,v136,v137,v138,v139,v140,v141,v142,v143,v144,v145,v146,v147,v148,v149,leader
4741,4,1,3,1,2,9,2,1,90,3,2,3,1,8,2,8,1,1,2,5,5,1,0,3,1,0,0,5,5,1,1,8,5,1,5,3,0,2,4,5,11,0,5,0,5,5,0,1,10,8,0,0,1,5,5,1,9,9,2,1,4,1,5,4,1,5,4,1,5,4,1,1,1,1,10,3,5,7,1,1,9,80,1,5,0,1,1,8,2,5,5,0,1,1,1,5,1,1,1,1,1,5,5,1,1,5,5,1,1,5,5,8,0,1,8,1,5,2,1,1,2,2,2,2,2,2,2,1,1,1,1,1,1,2,0,50,91,91,1,5,0,3,2,1,1,0
4742,7,1,1,5,2,9,1,1,90,3,2,1,8,2,3,2,3,5,4,5,5,2,1,1,1,0,0,1,1,5,1,1,5,1,1,1,5,2,3,5,10,4,1,2,1,0,1,1,30,5,0,0,5,5,5,5,5,5,3,2,2,2,5,2,2,5,1,2,5,1,1,5,1,2,30,3,5,2,5,1,9,60,1,1,5,2,2,8,2,1,1,1,1,5,1,1,5,5,5,1,1,5,5,5,1,5,5,5,5,5,1,2,1,1,5,1,1,2,1,1,1,2,2,3,3,2,1,1,2,0,2,1,5,4,0,91,91,91,1,1,1,5,2,1,1,0
4743,4,1,1,3,2,7,1,7,10,4,4,4,4,8,1,8,1,1,2,5,1,1,0,1,1,0,0,1,5,5,1,5,5,1,1,1,4,1,1,5,31,9,5,0,5,5,0,1,80,5,0,0,1,5,5,5,5,8,4,2,4,2,5,4,2,5,1,2,1,1,2,5,1,8,98,2,8,2,8,2,3,90,8,1,5,1,3,8,3,1,5,0,1,8,1,5,5,1,5,8,1,5,5,8,1,5,5,5,5,5,5,2,1,1,5,2,2,3,2,1,1,2,2,3,2,2,1,1,1,1,3,1,5,2,0,20,91,91,1,5,0,5,2,1,1,0
4744,4,1,2,1,2,1,2,4,30,4,4,3,3,2,3,2,1,5,4,5,5,2,6,3,1,0,0,5,5,1,5,5,5,5,0,2,0,2,8,5,31,9,5,0,8,1,0,1,30,1,0,0,1,1,1,8,9,2,2,1,3,1,1,1,1,5,1,2,8,5,0,1,8,1,30,6,1,3,1,2,1,50,8,1,1,1,1,8,4,1,1,8,1,1,1,5,1,8,1,1,1,5,5,8,8,8,8,1,5,1,1,2,8,2,5,1,1,1,2,1,1,2,2,2,1,2,2,1,1,1,1,1,1,1,0,50,91,91,1,1,1,2,5,1,2,0
4745,7,1,2,3,2,8,2,7,40,1,4,8,8,2,3,2,3,5,4,5,5,3,8,4,1,0,0,1,5,5,1,1,5,1,1,1,7,1,4,5,30,9,5,0,5,1,0,1,20,5,0,0,1,8,5,8,8,8,1,1,4,1,1,4,1,5,4,2,1,8,0,1,1,1,30,6,8,2,5,1,9,90,5,5,0,2,2,8,8,5,5,0,1,1,1,5,1,1,5,1,1,8,5,5,5,5,5,5,5,1,1,2,1,4,8,1,5,2,3,1,2,3,3,3,1,2,2,1,1,1,1,2,1,1,0,50,91,91,4,1,4,1,4,1,1,0
4746,7,1,2,9,2,9,2,0,50,4,4,3,3,8,8,8,1,5,9,5,5,1,0,4,1,0,0,5,5,1,8,8,8,5,0,8,0,3,9,5,32,9,5,0,8,5,0,8,91,0,0,0,1,8,8,8,8,4,3,8,1,1,8,8,0,8,8,0,8,5,0,1,1,8,98,8,8,8,8,8,0,90,8,8,1,8,8,8,2,5,8,0,1,1,1,5,1,1,1,1,1,5,5,5,1,5,8,8,8,5,8,8,0,1,8,2,5,3,2,2,2,8,8,2,1,2,8,8,0,1,3,1,5,2,0,80,91,91,4,5,0,5,3,1,1,0
4747,7,1,2,9,2,9,2,0,60,4,4,3,2,2,2,2,8,5,3,5,5,1,0,4,1,0,0,1,5,5,1,8,5,5,0,2,0,3,3,5,10,6,5,0,5,5,0,1,20,1,0,0,1,5,5,5,1,3,3,1,2,1,4,1,1,5,1,3,1,1,3,5,1,2,91,8,9,8,8,2,3,98,1,1,5,1,1,4,4,1,1,4,1,1,1,1,5,5,8,5,1,8,5,5,1,5,5,5,5,5,5,1,2,0,1,1,5,3,3,1,1,3,3,4,3,2,1,1,2,2,2,1,5,5,0,96,10,91,1,2,0,5,1,2,1,0
4748,7,1,2,9,2,9,2,1,20,2,1,2,8,2,4,2,1,8,0,5,5,1,0,3,1,0,0,5,5,5,1,1,1,8,0,3,0,3,3,5,11,8,5,0,5,1,0,1,40,1,0,0,8,5,5,5,1,9,3,1,1,2,5,8,0,1,4,3,5,4,8,5,1,2,98,8,8,7,8,8,0,90,5,8,8,8,3,4,8,5,5,0,1,5,1,5,5,5,1,8,1,5,5,1,8,5,5,8,1,5,1,2,2,2,4,1,5,3,2,1,1,3,3,2,2,3,1,5,0,9,2,1,5,5,0,96,20,91,1,1,1,5,2,2,1,0
4749,4,1,2,3,2,9,2,1,50,4,4,4,1,2,2,1,1,1,1,5,8,1,0,4,1,0,0,1,1,5,1,1,5,1,1,2,0,8,0,1,32,4,1,8,5,1,0,1,80,5,0,0,1,5,8,5,5,3,3,2,1,2,5,1,2,5,1,4,5,1,3,5,1,4,91,6,8,2,8,9,0,20,5,1,1,2,8,1,8,1,3,3,8,8,8,1,8,8,8,8,8,5,5,5,1,5,5,5,5,5,8,1,2,0,2,1,1,3,1,8,8,3,3,3,3,3,2,5,0,0,3,1,1,5,0,30,91,91,1,2,0,8,1,1,1,0
4750,4,8,2,5,2,9,2,7,60,4,4,1,8,8,8,8,8,8,0,8,8,1,0,4,1,0,0,8,8,8,8,8,8,5,0,8,0,8,0,8,30,9,5,0,5,5,0,8,91,0,0,0,1,8,8,8,1,9,8,8,8,0,4,8,0,8,8,0,8,8,0,1,8,8,98,8,8,8,8,8,0,98,8,8,8,1,1,8,8,8,8,0,1,1,1,8,8,8,8,8,8,8,8,8,1,8,8,8,5,5,5,1,2,0,4,4,5,2,3,1,1,2,2,2,2,3,1,1,2,0,2,1,5,1,99,96,79,91,1,2,0,5,1,2,1,0
4751,4,8,2,9,2,2,2,3,20,2,4,4,2,2,8,2,1,5,4,5,1,2,2,4,1,0,0,5,5,1,1,5,8,5,0,1,5,1,4,5,32,6,5,0,5,5,0,1,10,5,0,0,1,1,8,5,9,9,2,1,4,1,5,4,1,5,8,0,1,5,0,1,1,1,30,8,1,8,1,1,9,90,5,8,5,1,1,8,3,5,5,0,1,1,1,5,1,1,5,8,1,8,1,1,5,1,5,5,1,5,8,2,2,4,5,4,5,4,2,1,2,2,3,2,2,2,2,1,1,9,1,1,1,1,0,40,91,91,1,5,0,5,2,1,1,0
4752,4,8,2,1,2,9,2,1,40,4,4,8,8,2,8,2,1,5,4,5,5,1,0,4,1,0,0,5,5,1,8,8,8,8,0,8,0,2,9,5,31,9,5,0,5,5,0,1,10,1,0,0,8,5,8,5,5,9,2,1,5,0,1,1,8,1,1,2,1,1,1,1,8,8,98,8,8,8,8,8,0,98,1,8,1,1,2,8,3,5,5,0,1,1,1,8,8,1,8,8,8,1,5,5,5,5,5,5,5,5,5,1,1,0,5,2,9,1,3,1,1,1,2,8,2,2,9,5,0,0,3,1,5,2,0,96,79,91,1,5,0,5,2,2,2,0
4753,4,8,2,3,2,1,2,1,60,4,4,2,8,8,8,8,8,5,4,5,5,8,0,4,1,0,0,5,5,1,5,5,1,8,0,8,0,1,8,5,31,9,5,0,5,5,0,1,98,5,0,0,1,8,8,5,8,9,3,2,8,0,8,8,0,5,8,0,8,5,0,8,8,8,98,8,8,8,8,8,0,98,8,8,8,1,2,8,8,5,8,0,1,1,1,5,1,1,1,8,1,5,5,5,1,5,5,5,5,8,8,1,1,0,5,3,3,3,3,1,1,2,2,2,2,2,1,5,0,0,8,1,5,2,0,96,40,91,1,2,0,5,4,2,1,0
4754,4,8,2,9,2,9,2,1,20,3,4,2,2,2,3,2,1,5,4,5,5,2,9,2,1,0,0,5,5,1,1,1,5,5,0,1,7,3,4,5,11,1,5,0,5,1,0,1,20,1,0,0,1,5,5,5,1,2,3,3,1,2,5,1,2,5,1,2,5,1,2,5,1,2,10,8,8,8,8,2,1,0,5,1,1,2,1,1,3,1,1,1,1,5,1,5,1,5,5,1,1,5,5,5,1,5,5,5,5,5,5,8,0,2,5,1,5,1,2,1,1,2,2,3,1,2,2,1,1,1,1,1,1,1,0,96,95,80,1,2,0,5,5,2,1,0
4755,7,8,2,2,2,9,2,8,60,4,4,8,8,2,8,2,1,5,6,8,5,1,0,4,1,0,0,5,5,1,5,5,8,5,0,8,0,1,3,5,31,9,5,0,5,5,0,1,10,5,0,0,1,5,5,5,1,9,3,1,8,0,1,8,0,1,8,0,1,8,0,1,8,1,98,8,8,8,8,8,0,98,8,8,8,2,1,8,2,8,8,0,1,1,1,5,1,1,8,8,8,5,5,5,1,5,5,5,5,5,5,1,2,0,1,3,5,3,8,1,8,1,1,1,1,1,1,1,2,2,2,1,1,1,0,95,79,91,3,5,0,5,5,2,1,0
4756,4,8,2,2,2,9,2,7,50,4,4,4,8,2,8,2,1,5,4,5,5,1,0,4,1,0,0,1,5,1,1,5,1,5,0,2,0,8,0,5,30,6,5,0,5,5,0,8,91,0,0,0,1,1,8,8,8,1,3,1,1,2,8,1,1,1,1,2,8,1,2,8,8,3,98,8,8,8,8,8,0,98,8,8,1,1,2,8,3,5,5,0,1,1,1,5,1,1,5,1,1,1,8,1,1,1,5,8,8,5,5,1,2,0,1,2,9,1,2,1,1,2,3,2,2,2,1,1,2,2,3,1,1,1,0,96,79,91,1,1,2,5,4,2,1,0
4757,4,3,2,1,2,8,2,0,50,2,4,1,4,8,8,1,1,1,1,5,5,1,0,1,8,0,0,5,5,1,5,5,1,5,0,3,0,1,3,5,30,9,5,0,5,5,0,8,91,0,0,0,8,8,8,9,8,2,8,8,4,1,8,8,0,8,5,0,8,8,0,1,1,4,91,8,8,8,8,2,3,90,1,8,8,8,8,8,8,5,8,0,1,5,1,1,8,8,5,8,1,8,5,1,1,8,8,5,1,8,8,8,0,8,1,3,3,5,3,8,2,8,8,2,2,2,2,1,1,1,1,1,1,1,0,30,50,91,1,5,0,1,2,2,1,0
4758,4,3,2,5,2,4,2,3,20,3,4,8,8,2,8,2,1,8,0,5,5,1,0,4,1,0,0,5,5,1,8,8,8,1,1,1,2,2,4,5,31,1,5,0,5,8,0,1,10,9,0,0,1,1,8,8,8,9,4,1,4,1,8,4,1,5,8,0,8,8,0,8,1,2,30,8,8,8,8,8,0,98,8,8,1,8,2,1,8,5,5,0,1,1,1,5,1,1,5,1,1,5,5,5,1,5,5,5,5,5,5,2,2,2,5,1,5,1,3,1,1,4,3,3,3,3,1,5,0,0,3,1,5,3,0,96,30,91,1,5,0,5,3,2,1,0
4759,4,3,2,1,2,9,2,8,0,4,4,8,8,8,8,1,1,8,0,5,8,1,0,3,1,0,0,5,8,1,8,8,1,5,0,2,0,8,0,8,32,9,5,0,8,5,0,8,91,0,0,0,8,8,8,8,8,9,8,8,8,0,8,5,0,8,8,0,1,8,0,8,8,8,98,8,8,8,8,8,0,98,8,8,8,8,8,8,4,5,8,0,1,5,8,5,1,5,5,8,5,5,5,8,5,1,5,5,5,5,5,8,0,2,8,4,5,4,3,2,2,1,2,2,2,1,8,5,0,0,8,1,1,1,0,50,91,91,4,5,0,5,3,2,2,0
4760,4,3,2,9,2,8,2,4,10,4,4,3,4,2,3,2,2,5,4,5,5,2,8,3,1,0,0,1,1,5,1,1,5,5,0,2,0,3,9,5,20,0,5,0,5,5,0,5,91,0,2,8,5,5,5,5,5,3,3,1,1,2,5,1,2,8,1,2,1,1,2,1,1,2,30,8,8,8,8,1,9,60,1,8,1,2,1,8,3,1,5,0,1,5,1,1,1,5,5,8,8,5,5,5,1,5,5,5,5,5,5,2,8,2,2,1,1,2,2,1,2,2,3,3,2,2,2,5,0,0,1,1,1,3,0,40,91,91,1,5,0,1,3,1,1,0
4761,4,1,2,9,2,1,2,6,90,3,2,3,1,1,1,2,1,5,4,1,8,2,6,1,1,0,0,5,5,1,1,1,5,5,0,2,0,1,8,5,33,4,5,0,1,0,1,1,10,1,0,0,1,5,5,5,5,2,4,1,4,1,5,2,1,5,1,2,5,1,3,1,1,1,10,3,5,1,0,1,9,0,5,1,1,8,1,3,3,5,8,0,1,1,1,5,1,1,1,1,1,1,5,1,5,1,5,5,8,5,5,1,2,0,5,1,1,1,1,1,1,4,4,1,3,1,1,1,2,8,1,2,1,5,0,10,91,91,2,5,0,3,3,2,2,0
4762,6,1,2,1,2,1,2,0,60,4,4,4,3,2,3,2,1,1,1,5,5,2,2,2,1,0,0,1,1,5,1,1,5,5,0,2,0,3,4,5,31,5,5,0,5,1,0,1,10,5,0,0,1,5,1,5,9,4,3,2,1,3,1,1,3,5,1,3,5,1,2,5,1,3,10,8,8,1,0,1,9,90,5,5,0,1,1,8,3,5,5,0,1,1,1,1,5,1,1,1,1,5,5,5,5,5,5,5,5,8,8,6,2,2,2,2,3,1,3,1,1,3,3,3,3,2,1,1,2,1,1,2,1,3,50,96,20,91,1,1,2,5,1,2,1,0
4763,6,1,2,1,2,9,2,7,10,2,4,3,8,2,1,2,1,8,0,5,5,2,8,2,1,0,0,5,5,1,5,5,1,5,0,1,2,2,1,5,11,0,5,0,5,1,0,1,10,8,0,0,1,5,1,5,9,4,2,1,4,2,5,2,1,5,1,3,5,1,3,1,1,2,10,8,1,1,0,1,9,98,8,1,8,1,1,8,2,5,5,0,1,1,1,5,1,1,5,1,1,8,5,8,1,8,5,5,5,5,8,2,2,2,5,1,5,2,3,1,1,3,3,1,2,8,2,1,9,1,1,1,5,2,0,30,91,91,1,1,4,5,2,1,1,0
4764,7,1,2,2,2,9,2,8,30,4,1,3,3,2,2,2,1,5,4,5,5,3,8,2,1,0,0,5,5,5,5,5,5,1,5,1,5,3,3,5,11,6,5,0,5,5,0,5,91,0,3,5,5,5,5,5,5,9,2,1,1,2,1,5,0,1,1,2,1,1,2,5,1,3,20,1,0,8,1,2,3,98,1,1,5,2,2,8,3,5,1,2,1,1,1,5,5,1,5,1,1,1,5,5,1,5,5,5,5,5,5,1,2,0,1,1,5,1,2,1,1,2,3,3,3,3,1,1,2,2,2,1,1,5,70,10,91,91,1,1,2,5,3,2,1,0
4765,4,3,1,1,2,1,1,6,40,4,4,1,4,2,4,2,3,5,6,5,1,2,3,1,5,3,2,1,1,5,1,5,5,1,1,1,4,1,3,5,10,1,5,0,5,5,0,1,20,5,0,0,5,5,5,1,9,6,4,2,3,1,5,3,1,5,2,1,5,2,1,8,1,4,91,8,1,2,1,2,3,60,1,1,5,2,1,8,4,1,1,1,1,5,1,1,5,1,5,5,5,5,5,5,1,5,1,5,5,5,5,6,1,1,5,1,1,2,2,1,2,1,2,2,1,3,1,1,1,2,1,1,5,2,0,20,91,91,1,5,0,5,2,1,1,0
4766,4,3,1,3,2,7,1,1,10,4,4,2,8,8,8,8,1,8,0,8,1,1,0,8,1,0,0,5,8,8,8,8,8,5,0,2,0,8,0,8,32,9,5,0,8,8,0,8,91,0,0,0,8,8,8,8,8,9,8,8,8,0,8,8,0,8,8,0,8,8,0,8,8,8,98,8,8,8,8,8,0,90,8,8,8,8,8,8,8,8,8,0,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,0,8,8,4,5,5,8,8,8,2,8,8,3,1,8,8,0,0,8,1,1,1,0,70,79,91,1,5,0,5,4,2,2,0
4767,4,3,1,1,2,8,1,1,10,3,4,1,3,2,3,2,1,1,6,8,5,1,0,1,1,0,0,5,5,1,1,1,8,1,1,1,7,1,4,5,12,5,5,0,5,1,0,5,91,0,8,1,1,5,5,5,5,1,3,1,1,3,5,4,2,5,4,1,1,4,1,1,8,3,0,8,8,8,8,1,9,98,8,1,5,1,1,1,3,1,1,2,1,1,1,5,1,1,5,5,1,1,1,8,1,1,1,1,1,1,1,1,2,0,5,3,5,2,2,1,1,1,1,2,1,1,1,5,0,9,2,1,5,1,0,95,80,91,1,5,0,5,5,1,2,0
4768,4,3,1,1,2,4,1,3,20,3,4,1,3,2,3,2,3,1,1,5,5,1,0,1,1,0,0,5,5,1,1,1,5,1,1,1,3,3,3,5,33,1,5,0,5,5,0,1,30,1,0,0,1,5,5,5,1,9,2,1,1,2,1,1,2,1,1,2,1,1,2,1,1,2,30,8,1,8,1,1,9,50,1,1,5,1,3,8,3,5,5,0,1,1,1,5,1,1,1,1,1,5,5,5,1,5,5,5,1,5,5,2,2,2,1,1,1,4,1,1,1,1,2,3,2,1,2,1,1,4,1,1,1,5,0,96,10,91,1,5,0,5,3,2,1,0
4769,6,1,1,3,2,9,1,1,20,2,1,2,3,1,3,1,1,2,9,5,5,1,0,3,1,0,0,1,5,5,1,5,5,1,5,3,0,3,8,5,10,5,5,0,5,5,0,1,10,5,0,0,1,5,5,1,9,2,3,1,5,0,1,5,0,1,5,0,1,5,0,1,1,4,91,2,1,1,0,2,3,90,1,1,8,2,2,8,2,5,5,0,1,1,1,1,5,1,5,1,1,5,5,5,1,5,5,5,5,5,1,1,2,0,4,1,9,1,2,1,1,2,2,2,2,2,1,1,2,2,2,1,5,3,0,20,91,91,1,1,2,5,5,1,1,0
4770,7,1,1,5,2,1,1,7,90,3,3,1,3,2,3,2,3,2,9,5,5,2,5,1,1,0,0,1,5,5,1,5,5,1,1,1,7,1,3,5,10,0,1,2,1,0,1,5,91,0,8,5,5,5,5,1,9,6,4,2,2,1,5,2,1,1,2,2,5,2,1,5,1,1,10,1,0,1,0,1,9,90,5,5,0,1,1,8,3,1,1,2,1,1,1,5,1,1,1,1,1,5,5,5,1,5,5,5,5,5,1,6,1,1,2,1,1,4,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,3,0,79,91,91,1,5,0,2,4,1,2,0
4771,6,1,3,1,2,1,1,6,50,2,4,3,4,2,2,2,3,5,4,5,5,1,0,1,1,0,0,1,1,5,1,5,5,1,1,2,0,3,4,5,11,3,1,2,5,5,0,1,10,5,0,0,1,5,5,5,1,5,3,1,1,2,5,1,2,5,1,2,1,1,2,1,1,4,10,3,1,3,5,2,1,60,8,1,5,1,2,8,2,1,1,3,5,1,1,5,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,1,8,0,1,1,3,1,2,1,2,2,3,2,3,2,2,1,1,1,1,4,1,5,10,30,91,91,1,5,0,5,2,1,1,0
4772,7,1,3,3,2,9,1,6,30,4,4,2,2,2,2,2,1,5,3,5,5,2,3,4,1,0,0,1,5,5,1,8,5,5,0,2,0,3,4,5,11,5,1,1,5,5,0,1,30,1,0,0,5,5,5,5,5,9,2,1,1,1,1,4,2,1,8,0,1,5,0,1,1,2,20,8,8,8,8,8,0,30,1,1,1,2,2,8,3,1,1,2,8,5,1,1,5,8,5,5,5,5,5,8,1,5,5,5,1,5,5,2,2,2,4,1,3,4,2,2,2,2,3,2,3,3,1,1,1,1,3,1,5,4,0,96,20,91,1,2,0,1,2,2,1,0
4773,4,1,3,1,2,5,1,6,10,4,4,3,3,2,3,1,2,5,4,5,1,2,2,2,1,0,0,1,5,5,1,1,5,5,0,1,5,3,3,5,33,5,1,2,5,5,0,1,30,5,0,0,1,5,5,5,1,4,4,2,2,1,5,3,1,5,2,1,5,3,1,1,1,3,50,3,5,2,5,2,3,60,1,1,5,1,1,1,2,1,5,0,1,5,1,5,5,5,5,5,1,5,5,5,1,5,1,5,5,5,1,6,2,2,2,1,9,1,1,1,2,1,3,3,3,2,1,1,1,1,2,1,1,5,0,80,91,91,1,9,0,5,1,1,1,0
4774,4,2,3,9,2,8,1,2,20,2,4,3,4,2,4,8,2,1,2,5,5,1,0,4,1,0,0,1,5,1,1,5,1,1,1,4,0,1,4,5,33,3,5,0,5,1,0,1,10,5,0,0,1,5,5,5,1,3,2,1,1,1,5,1,1,5,2,1,5,2,1,1,1,2,10,1,0,1,0,1,9,90,5,5,0,1,1,8,1,1,5,0,1,1,1,1,1,1,1,8,1,5,5,5,1,5,5,1,1,1,1,2,1,1,1,1,1,1,1,1,1,3,2,3,3,3,1,1,1,2,1,1,1,4,0,96,30,91,1,1,9,5,2,2,1,0
4775,4,1,3,1,2,1,1,3,90,4,3,3,4,3,4,2,1,5,3,5,5,2,4,1,5,5,1,1,5,5,1,5,5,1,1,1,5,3,4,5,31,1,1,1,5,1,0,1,30,1,0,0,1,5,5,5,5,8,2,1,1,2,1,1,2,5,1,2,8,1,2,5,1,2,40,3,1,8,1,2,1,0,1,1,5,2,2,1,2,1,1,1,1,1,1,1,5,5,5,5,1,5,5,5,1,5,5,5,1,5,5,2,2,1,1,1,3,1,2,1,1,3,1,3,4,2,2,1,1,1,1,1,1,4,0,60,91,91,1,9,0,2,3,1,2,0
4776,6,1,3,3,2,8,1,6,30,4,2,2,3,3,3,3,1,5,6,5,5,2,8,2,1,0,0,1,5,5,1,1,5,1,5,1,2,2,3,5,33,3,1,2,1,0,5,1,30,5,0,0,1,5,5,5,5,4,3,1,1,2,1,1,1,1,1,1,8,1,2,1,1,2,10,1,0,3,1,1,9,0,5,1,8,2,1,8,3,1,5,0,8,1,1,1,5,5,5,5,1,5,5,5,1,5,5,5,5,5,5,2,2,2,1,1,4,1,1,1,1,3,2,3,2,8,1,1,1,2,3,1,1,4,40,20,91,91,1,5,0,5,5,1,1,0
4777,7,1,3,5,2,8,1,6,70,1,4,2,3,4,8,8,2,5,3,5,5,1,0,2,1,0,0,5,5,1,1,1,5,1,5,1,7,1,4,5,22,6,5,0,5,1,0,1,20,8,0,0,1,5,5,5,5,8,3,1,8,0,8,8,0,5,1,1,5,1,1,5,8,3,30,8,8,7,8,2,1,50,5,5,0,1,1,8,8,5,8,0,1,1,1,5,1,8,5,1,1,1,1,1,8,5,5,5,1,5,1,8,0,2,2,3,5,2,3,1,1,2,2,2,2,2,2,1,1,1,3,1,5,1,0,20,91,91,3,5,0,5,3,2,1,0
4778,7,1,3,1,2,8,1,6,90,4,1,4,8,8,2,8,1,5,4,5,8,2,1,1,5,9,1,1,1,5,1,1,5,1,1,1,1,4,9,1,33,1,1,2,5,1,0,5,91,0,6,5,5,5,5,5,5,5,2,1,1,3,5,1,3,5,1,4,1,1,3,1,1,4,30,1,0,3,1,1,9,0,1,1,5,2,1,1,4,1,1,1,5,5,5,1,5,5,5,5,5,5,5,5,1,5,5,5,5,5,5,8,0,8,4,4,5,1,2,1,2,3,3,3,3,4,2,5,0,0,1,4,5,5,70,10,91,91,1,2,0,5,2,1,1,0
4779,4,1,2,1,2,8,1,1,90,1,3,3,2,2,2,2,2,5,4,5,5,1,0,3,1,0,0,5,5,8,1,8,8,1,5,2,0,3,4,5,12,5,5,0,5,5,0,1,20,5,0,0,1,5,5,5,1,2,2,1,1,2,5,4,1,5,4,1,8,4,1,8,1,3,10,6,8,7,8,2,3,0,1,8,8,2,1,8,2,5,5,0,5,5,1,1,8,5,8,8,1,5,5,8,1,8,8,8,1,5,8,1,2,0,1,1,1,2,2,8,1,8,3,8,2,2,2,1,1,1,3,1,1,5,0,20,91,91,1,5,0,5,3,1,1,0
4780,7,1,1,1,2,3,1,1,90,3,3,2,2,2,3,2,3,1,2,5,5,1,0,1,1,0,0,1,5,5,1,5,5,5,0,2,0,1,4,5,11,4,5,0,5,1,0,1,10,8,0,0,1,5,5,5,5,8,2,1,1,1,2,1,1,5,1,1,5,1,1,5,8,1,30,8,8,8,8,2,3,70,1,1,1,2,1,3,4,1,1,3,1,1,1,1,1,8,5,1,1,5,5,5,1,5,5,5,5,5,5,2,8,2,1,1,1,1,2,1,1,3,2,3,1,1,1,5,0,9,2,1,5,1,40,40,91,91,1,5,0,1,5,1,1,0
4781,6,1,1,1,2,8,1,6,90,2,1,2,3,1,4,2,2,1,6,5,5,1,0,3,1,0,0,5,5,5,1,5,5,1,5,1,3,1,3,5,10,1,1,2,5,5,0,5,91,0,5,5,1,5,5,5,8,3,2,1,3,1,5,3,1,5,3,1,8,3,2,1,1,2,50,1,0,8,8,8,0,90,5,5,0,1,1,8,2,1,1,1,1,1,1,8,5,1,1,8,1,5,5,5,1,5,5,5,5,5,5,3,1,6,1,1,4,4,2,1,1,1,2,3,2,2,1,1,2,2,2,1,5,3,30,20,91,91,1,1,2,1,2,2,1,0
4782,4,1,1,9,2,8,1,1,20,1,4,1,3,2,4,2,2,5,4,5,5,2,3,2,1,0,0,5,5,1,5,5,1,1,5,1,7,1,3,5,32,3,5,0,5,1,0,1,10,5,0,0,1,1,1,5,1,4,2,1,2,1,5,2,1,5,2,1,5,2,1,1,8,2,20,8,1,8,1,1,9,90,5,5,0,1,1,8,2,5,8,0,1,1,1,5,1,1,1,1,1,1,1,1,5,1,1,1,1,1,1,3,1,1,1,1,1,3,1,1,2,2,2,2,2,3,1,1,2,1,1,1,1,1,0,50,91,91,1,5,0,1,3,1,1,0
4783,4,1,1,3,2,9,1,5,10,4,4,3,1,8,2,2,1,5,4,5,5,1,0,2,5,1,3,5,5,1,8,8,5,1,5,1,5,4,7,2,10,5,5,0,5,5,0,5,91,0,2,1,8,5,5,5,1,3,2,1,1,3,1,1,1,8,1,2,1,1,3,1,1,2,20,8,1,8,8,1,9,0,8,1,1,2,1,8,3,1,5,0,1,8,1,5,1,8,5,5,8,5,5,5,1,5,5,5,5,5,8,2,2,2,1,1,1,1,2,1,1,3,3,2,3,2,1,1,1,1,1,1,1,4,0,96,80,91,1,1,1,5,1,2,1,0
4784,6,1,4,9,3,3,1,6,20,3,1,4,2,1,3,2,1,1,2,5,5,1,0,3,1,0,0,5,5,1,1,1,5,5,0,4,0,3,3,5,11,0,1,2,5,1,0,8,91,0,0,0,1,5,5,1,9,3,2,1,1,2,5,1,2,5,1,2,5,1,2,5,1,1,10,1,0,3,1,1,9,90,5,5,0,1,1,8,3,5,5,0,1,1,1,5,1,5,5,5,5,5,5,5,1,5,5,1,5,5,5,6,2,1,5,1,2,2,1,1,1,4,4,2,1,2,1,1,2,0,3,1,1,3,0,20,91,91,1,5,0,5,2,1,1,0
4785,7,1,3,3,3,3,1,1,90,3,3,3,2,2,4,1,1,5,4,5,5,2,1,2,1,0,0,1,1,5,1,1,5,1,5,1,1,3,3,5,31,4,1,2,5,5,0,5,91,0,2,5,5,5,5,5,5,3,2,1,1,2,5,1,2,5,1,3,5,1,3,5,1,2,30,3,1,2,5,2,1,0,1,1,1,2,1,8,3,5,1,1,1,5,1,1,5,5,5,1,5,1,5,5,1,5,5,5,5,5,5,2,1,2,5,1,5,2,2,1,1,3,3,3,3,3,2,5,0,0,1,9,5,5,0,10,91,91,3,5,0,2,3,2,1,0
